,postcode,ins_avg,ins_total,out_avg,out_total,suburb,state
241,2190,57.76190476190475,1213.0,365.0359523809523,7665.754999999999,CHULLORA,NSW
242,2191,11.571428571428573,243.0,52.79261904761905,1108.645,BELFIELD,NSW
243,2192,18.714285714285715,393.0,85.05233333333334,1786.099,BELMORE,NSW
244,2193,31.714285714285715,666.0,142.2488095238095,2987.225,HURLSTONE PARK,NSW
245,2194,20.857142857142858,438.0,109.01742857142857,2289.366,CAMPSIE,NSW
246,2195,24.476190476190478,514.0,122.57814285714286,2574.141,LAKEMBA,NSW
247,2196,62.47619047619048,1312.0,286.6234761904762,6019.093000000001,ROSELANDS,NSW
248,2197,26.095238095238088,548.0,125.04742857142858,2625.9959999999996,BASS HILL,NSW
249,2198,23.523809523809533,494.0,112.77580952380951,2368.292,GEORGES HALL,NSW
250,2199,42.23809523809524,887.0,201.25585714285708,4226.373,YAGOONA WEST,NSW
251,2200,79.14285714285714,1662.0,514.6348571428572,10807.332,BANKSTOWN AERODROME,NSW
252,2203,20.761904761904766,436.0,84.25938095238095,1769.4470000000001,DULWICH HILL,NSW
253,2204,43.14285714285715,906.0,279.6405238095238,5872.451,MARRICKVILLE SOUTH,NSW
254,2205,19.714285714285715,414.0,106.3565238095238,2233.487,ARNCLIFFE,NSW
255,2206,41.80952380952381,878.0,183.18447619047618,3846.874,CLEMTON PARK,NSW
256,2207,52.19047619047619,1096.0,249.108,5231.268,BARDWELL PARK,NSW
257,2208,31.04761904761905,652.0,191.13747619047615,4013.887,KINGSGROVE,NSW
258,2209,40.80952380952381,857.0,166.74052380952384,3501.5510000000004,BEVERLY HILLS,NSW
259,2210,81.42857142857143,1710.0,412.9762380952381,8672.501,PEAKHURST HEIGHTS,NSW
260,2211,48.047619047619044,1009.0,299.3148571428572,6285.611999999999,PADSTOW,NSW
261,2212,45.952380952380956,965.0,289.8501904761905,6086.854,REVESBY NORTH,NSW
262,2213,69.9047619047619,1468.0,341.41180952380955,7169.648000000001,PANANIA,NSW
263,2214,20.238095238095237,425.0,145.35780952380952,3052.514,MILPERRA,NSW
